Category,Quantity,References,Value,Stock Code,Unit Cost
Capacitors,27,"C1-C17,C23-C25,C27-C32,C35",100nF,C77055,$0.01
Capacitors,4,"C18-C20,C34",10uF,C513774,$0.06
Capacitors,1,C21,470uF,C263985,$0.11
Capacitors,1,C22,47uF,C264234,$0.03
Capacitors,1,C26,220uF,C294521,$0.04
Resistors,31,"R1-R16,R34,R37,R40,R43,R46,R49,R52,R55,R58-R59,R61-R62,R65-R66,R76",10k,C73809,$0.00
Resistors,8,R17-R24,20k,C305317,$0.00
Resistors,8,R25-R32,680,C103775,$0.00
Resistors,21,"R33,R36,R39,R42,R45,R48,R51,R54,R57,R60,R64,R67-R73,R77,R79,R81",1k,C328340,$0.00
Resistors,8,"R35,R38,R41,R44,R47,R50,R53,R56",4.7k,C102303,$0.00
Resistors,3,"R63,R74-R75",10k,C17414,$0.00
Resistors,2,"R78,R80",536,C13005,$0.00
Resistors,2,R82-R83,4.7k,C149871,$0.02
Resistors,2,"R84,R168",470,C328361,$0.00
Integrated Circuits,2,"U1,U7",74HC14,C6821,$0.12
Integrated Circuits,2,"U2,U8",74HC541,C6758,$0.25
Integrated Circuits,4,U3-U6,ILD207T,C71049,$0.61
Integrated Circuits,2,"U9,U16",TLP127,C5001,$0.27
Integrated Circuits,1,U10,ESP-32s,C473012,$3.24
Integrated Circuits,1,U11,"LM2576-3,3",C194472,$0.41
Integrated Circuits,1,U12,7812,C233216,$0.42
Integrated Circuits,1,U13,LD1117S33,C369933,$0.07
Integrated Circuits,1,U14,CH340CE,C84681,$0.39
Integrated Circuits,2,"U15,U17",LM358N,C329455,$0.04
Integrated Circuits,1,U18,AT24C512B,C81193,$0.18
Integrated Circuits,1,U19,DS3232,C9866 ,$2.37
Transistors,11,"Q1-Q10,Q13","PMBT3904,215",C8667,$0.01
Transistors,2,Q11-Q12,"PMBT3904,215",C8667,$0.01
Transistors,1,Q14,FQD11P06TM,C719783,$0.40
Diodes,8,D1-D8,LED-GREEN,C131269,$0.03
Diodes,1,D9,SS14-TP,C110485,$0.11
Diodes,8,"D10,D12,D14,D16,D18,D20,D22,D24",RR1VWM6STFTR,C253524,$0.08
Diodes,11,"D11,D13,D15,D17,D19,D21,D23,D25,D30-D32",LED-RED,C375458,$0.02
Diodes,2,D26-D27,MMSZ3V6CW,C188299,$0.01
Diodes,1,D28,SS14-TP,C78082,$0.05
Diodes,1,D29,B330A-13-F,C110485,$0.11
Diodes,2,"D33,D66",1N4148W,C511885,$0.02
Miscellaneous,1,BAT1,3V,C70376,$0.06
Miscellaneous,2,BTN1-BTN2,RST,C388295,$0.02
Miscellaneous,1,F1,1A,C3130,$0.02
Miscellaneous,1,J1,KFM736-5_0-5P,C475236,$1.38
Miscellaneous,4,"J2,J5-J6,J8",TBLOCK-M2,,$0.40
Miscellaneous,3,"J3-J4,J7",TBLOCK-M3,,$0.50
Miscellaneous,1,J9,MICRO USB B,C319170,$0.06
Miscellaneous,1,J10,CONN-H4,,
Miscellaneous,1,L1,100u,C408533,$0.55
Miscellaneous,1,LCD1,OLED12864I2C,,
Miscellaneous,8,RL1-RL8,HF49FD/012-1H12G,C340662,$1.15
